2026-03-30 00:13:11.778 [http-nio-0.0.0.0-9090-exec-7] INFO  o.v.f.controller.MediaController - Downloading file: 3 Peg.mp3
2026-03-30 00:54:25.396 [SpringApplicationShutdownHook] INFO  o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-03-30 00:54:55.635 [SpringApplicationShutdownHook] INFO  o.s.c.s.DefaultLifecycleProcessor - Shutdown phase 2147482623 ends with 1 bean still running after timeout of 30000ms: [webServerGracefulShutdown]
2026-03-30 00:54:55.649 [tomcat-shutdown] INFO  o.s.boot.tomcat.GracefulShutdown - Graceful shutdown aborted with one or more requests still active
2026-03-30 00:55:00.339 [main] INFO  o.v.f.FileTransferServerApplicationKt - Starting FileTransferServerApplicationKt using Java 17.0.12 with PID 51968 (C:\Users\Vasu\IntelliJ IDEA\File-Transfer-Server\build\classes\kotlin\main started by Vasu in C:\Users\Vasu\IntelliJ IDEA\File-Transfer-Server)
2026-03-30 00:55:00.341 [main] INFO  o.v.f.FileTransferServerApplicationKt - No active profile set, falling back to 1 default profile: "default"
2026-03-30 00:55:00.490 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.0.1.Final
2026-03-30 00:55:01.758 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
2026-03-30 00:55:01.769 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-9090"]
2026-03-30 00:55:01.772 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-30 00:55:01.772 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.20]
2026-03-30 00:55:01.856 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1473 ms
2026-03-30 00:55:02.033 [main] INFO  o.v.f.config.StorageConfig - Storage directory configured: C:\Users\Vasu\Downloads\Telegram Desktop
2026-03-30 00:55:02.255 [main] INFO  o.s.b.w.a.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-30 00:55:02.651 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2026-03-30 00:55:02.691 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-9090"]
2026-03-30 00:55:02.713 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path '/'
2026-03-30 00:55:02.720 [main] INFO  o.v.f.FileTransferServerApplicationKt - Started FileTransferServerApplicationKt in 2.986 seconds (process running for 3.61)
2026-03-30 00:55:03.053 [RMI TCP Connection(3)-172.19.20.91] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-30 00:55:03.053 [RMI TCP Connection(3)-172.19.20.91] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-30 00:55:03.054 [RMI TCP Connection(3)-172.19.20.91] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-03-30 01:07:44.677 [SpringApplicationShutdownHook] INFO  o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-03-30 01:07:44.787 [tomcat-shutdown] INFO  o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-03-30 01:07:49.723 [main] INFO  o.v.f.FileTransferServerApplicationKt - Starting FileTransferServerApplicationKt using Java 17.0.12 with PID 62812 (C:\Users\Vasu\IntelliJ IDEA\File-Transfer-Server\build\classes\kotlin\main started by Vasu in C:\Users\Vasu\IntelliJ IDEA\File-Transfer-Server)
2026-03-30 01:07:49.726 [main] INFO  o.v.f.FileTransferServerApplicationKt - No active profile set, falling back to 1 default profile: "default"
2026-03-30 01:07:49.901 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.0.1.Final
2026-03-30 01:07:51.286 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
2026-03-30 01:07:51.300 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-9090"]
2026-03-30 01:07:51.307 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-30 01:07:51.307 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.20]
2026-03-30 01:07:51.378 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1598 ms
2026-03-30 01:07:51.576 [main] INFO  o.v.f.config.StorageConfig - Storage directory configured: C:\Users\Vasu\Downloads\Telegram Desktop
2026-03-30 01:07:51.859 [main] INFO  o.s.b.w.a.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-30 01:07:52.336 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2026-03-30 01:07:52.380 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-9090"]
2026-03-30 01:07:52.402 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path '/'
2026-03-30 01:07:52.409 [main] INFO  o.v.f.FileTransferServerApplicationKt - Started FileTransferServerApplicationKt in 3.327 seconds (process running for 3.92)
2026-03-30 01:07:53.056 [RMI TCP Connection(6)-172.19.20.91] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-30 01:07:53.057 [RMI TCP Connection(6)-172.19.20.91] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-30 01:07:53.059 [RMI TCP Connection(6)-172.19.20.91] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-03-30 01:13:48.544 [SpringApplicationShutdownHook] INFO  o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-03-30 01:13:48.664 [tomcat-shutdown] INFO  o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-03-30 01:13:52.387 [main] INFO  o.v.f.FileTransferServerApplicationKt - Starting FileTransferServerApplicationKt using Java 17.0.12 with PID 45016 (C:\Users\Vasu\IntelliJ IDEA\File-Transfer-Server\build\classes\kotlin\main started by Vasu in C:\Users\Vasu\IntelliJ IDEA\File-Transfer-Server)
2026-03-30 01:13:52.389 [main] INFO  o.v.f.FileTransferServerApplicationKt - No active profile set, falling back to 1 default profile: "default"
2026-03-30 01:13:52.550 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.0.1.Final
2026-03-30 01:13:53.668 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
2026-03-30 01:13:53.678 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-9090"]
2026-03-30 01:13:53.679 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-30 01:13:53.680 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.20]
2026-03-30 01:13:53.742 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1302 ms
